"input","axis","source_reference","parser","status","scheme","host","port","path","query","fragment"
"http://ex.com/%41%42","pct-unreserved","RFC 3986 S2.3 / WHATWG S1.3 (unreserved should decode)","rurl(rfc3986)","ok","http","ex.com","","/AB","",""
"http://ex.com/a%2Fb","pct-reserved","RFC 3986 S2.2 (reserved slash stays data)","rurl(rfc3986)","ok","http","ex.com","","/a%2Fb","",""
"http://2130706433/","ipv4-whole-decimal","WHATWG host parser (=127.0.0.1); RFC reg-name","rurl(rfc3986)","warning-no-tld","http","2130706433","","/","",""
"http://0x7f.0.0.1/","ipv4-hex","WHATWG IPv4 parser hex form","rurl(rfc3986)","warning-invalid-tld","http","0x7f.0.0.1","","/","",""
"http://0177.0.0.1/","ipv4-octal","WHATWG IPv4 parser octal form","rurl(rfc3986)","warning-invalid-tld","http","0177.0.0.1","","/","",""
"http://127.1/","ipv4-short-form","WHATWG IPv4 short form (=127.0.0.1)","rurl(rfc3986)","warning-invalid-tld","http","127.1","","/","",""
"http://999999999999/","ipv4-overflow","WHATWG host parser MUST reject (out of range)","rurl(rfc3986)","warning-no-tld","http","999999999999","","/","",""
"http://example.com./","host-trailing-dot","RFC 3986 reg-name / WHATWG host","rurl(rfc3986)","ok","http","example.com.","","/","",""
"http:\\example.com\a","backslash-as-slash","WHATWG special-scheme treats \ as /; RFC rejects","rurl(rfc3986)","error","","","","/","",""
"http://ex.com:80/","default-port-elision","Default port for http elided by WHATWG serializer","rurl(rfc3986)","ok","http","ex.com","80","/","",""
"http://münchen.de/","idn-unicode-host","IDNA / Punycode host rendering","rurl(rfc3986)","ok","http","münchen.de","","/","",""
"http://xn--mnchen-3ya.de/","idn-punycode-host","IDNA / Punycode host rendering","rurl(rfc3986)","ok","http","xn--mnchen-3ya.de","","/","",""
"http://ex.com/a/./b/../c","dot-segment","RFC 3986 S5.2.4 / WHATWG remove-dot-segments","rurl(rfc3986)","ok","http","ex.com","","/a/c","",""
"http://ex.com","empty-path","Empty path vs '/' normalization","rurl(rfc3986)","ok","http","ex.com","","/","",""
"http://www.ex.com/","www-prefix","www prefix handling","rurl(rfc3986)","ok","http","www.ex.com","","/","",""
"http://user:pass@ex.com/","userinfo","userinfo component handling","rurl(rfc3986)","ok","http","ex.com","","/","",""
"http://ex	ample.com/","c0-tab","WHATWG strips ASCII tab/CR/LF; rurl rejects (ADR 0004 boundary)","rurl(rfc3986)","error","","","","/","",""
"http://ex.com/a%3Fb","pct-reserved","RFC 3986 S2.2","rurl(rfc3986)","ok","http","ex.com","","/a%3Fb","",""
"http://ex.com/a%23b","pct-reserved","RFC 3986 S2.2","rurl(rfc3986)","ok","http","ex.com","","/a%23b","",""
"http://ex.com/%7euser","pct-unreserved","RFC 3986 S2.3","rurl(rfc3986)","ok","http","ex.com","","/~user","",""
"http://ex.com/%4a%6A","pct-unreserved","RFC 3986 S6.2.2.1/S6.2.2.2","rurl(rfc3986)","ok","http","ex.com","","/Jj","",""
"http://ex.com/%2e%2e/a","dot-segment","RFC 3986 S6.2.2.2 + S5.2.4","rurl(rfc3986)","ok","http","ex.com","","/a","",""
"http://ex.com/a/%2E./b","dot-segment","PRD SS6.1","rurl(rfc3986)","ok","http","ex.com","","/b","",""
"http://ex.com/a/.%2e/b","dot-segment","PRD SS6.1","rurl(rfc3986)","ok","http","ex.com","","/b","",""
"http://ex.com/%2e/a","dot-segment","PRD SS6.1","rurl(rfc3986)","ok","http","ex.com","","/a","",""
"http://ex.com/a/../b/./c","dot-segment","RFC 3986 S5.2.4","rurl(rfc3986)","ok","http","ex.com","","/b/c","",""
"http://ex.com/caf%C3%A9","non-ascii-path","RFC 3986 S2.3 (non-ASCII bytes are not unreserved)","rurl(rfc3986)","ok","http","ex.com","","/caf%C3%A9","",""
"http://ex.com/%20foo","space-in-path","RFC 3986 S2.3 (space is not unreserved)","rurl(rfc3986)","ok","http","ex.com","","/%20foo","",""
"http://127.0.0.1/","ipv4-canonical","RFC 3986 S3.2.2 IPv4address","rurl(rfc3986)","ok","http","127.0.0.1","","/","",""
"http://256/","ipv4-whole-decimal","WPT web-platform-tests/wpt url/resources/urltestdata.json: input=""http://256""","rurl(rfc3986)","warning-no-tld","http","256","","/","",""
"http://999999999/","ipv4-whole-decimal","WPT urltestdata.json: input=""http://999999999""","rurl(rfc3986)","warning-no-tld","http","999999999","","/","",""
"http://4294967295/","ipv4-whole-decimal","WPT urltestdata.json: input=""http://4294967295""","rurl(rfc3986)","warning-no-tld","http","4294967295","","/","",""
"http://4294967296/","ipv4-whole-decimal","WPT urltestdata.json: input=""http://4294967296"" (failure: true)","rurl(rfc3986)","warning-no-tld","http","4294967296","","/","",""
"http://0/","ipv4-whole-decimal","WHATWG URL Standard IPv4 parser","rurl(rfc3986)","warning-no-tld","http","0","","/","",""
"http://0x7f000001/","ipv4-hex","RFC 3986 S3.2.2 reg-name","rurl(rfc3986)","warning-no-tld","http","0x7f000001","","/","",""
"http://0xffffffff/","ipv4-hex","WPT urltestdata.json: input=""http://0xffffffff""","rurl(rfc3986)","warning-no-tld","http","0xffffffff","","/","",""
"http://0xffffffff1/","ipv4-hex","WPT urltestdata.json: input=""http://0xffffffff1"" (failure: true)","rurl(rfc3986)","warning-no-tld","http","0xffffffff1","","/","",""
"http://017700000001/","ipv4-octal","RFC 3986 S3.2.2 reg-name","rurl(rfc3986)","warning-no-tld","http","017700000001","","/","",""
"http://192.168.010.1/","ipv4-octal","RFC 3986 S3.2.2 reg-name","rurl(rfc3986)","warning-invalid-tld","http","192.168.010.1","","/","",""
"http://00.00.00.00/","ipv4-octal","WPT urltestdata.json: input=""https://00.00.00.00""","rurl(rfc3986)","warning-invalid-tld","http","00.00.00.00","","/","",""
"http://0000000000000000000000000000000000000000177.0.0.1/","ipv4-octal","WPT urltestdata.json: input=""https://0000...177.0.0.1""","rurl(rfc3986)","warning-invalid-tld","http","0000000000000000000000000000000000000000177.0.0.1","","/","",""
"http://1.2.3.08/","ipv4-octal","WPT urltestdata.json: input=""http://1.2.3.08"" (failure: true)","rurl(rfc3986)","warning-invalid-tld","http","1.2.3.08","","/","",""
"http://09.2.3.4/","ipv4-octal","WPT urltestdata.json: input=""http://09.2.3.4"" (failure: true)","rurl(rfc3986)","warning-invalid-tld","http","09.2.3.4","","/","",""
"http://192.168/","ipv4-short-form","RFC 3986 S3.2.2 reg-name","rurl(rfc3986)","warning-invalid-tld","http","192.168","","/","",""
"http://192.168.257/","ipv4-short-form","WPT urltestdata.json: input=""http://192.168.257""","rurl(rfc3986)","warning-invalid-tld","http","192.168.257","","/","",""
"http://256.1.1.1/","ipv4-overflow","RFC 3986 S3.2.2 reg-name","rurl(rfc3986)","warning-invalid-tld","http","256.1.1.1","","/","",""
"http://192.168.0.257/","ipv4-overflow","WPT urltestdata.json: input=""http://192.168.0.257"" (failure: true)","rurl(rfc3986)","warning-invalid-tld","http","192.168.0.257","","/","",""
"http://1.2.3.4.5/","ipv4-over-arity","RFC 3986 S3.2.2 reg-name","rurl(rfc3986)","warning-invalid-tld","http","1.2.3.4.5","","/","",""
"http://ex.com/./g","dot-segment","RFC 3986 S5.4 (abnormal example: absolute-path reference skips merge per S5.3, so remove_dot_segments applies directly)","rurl(rfc3986)","ok","http","ex.com","","/g","",""
"http://ex.com/../g","dot-segment","RFC 3986 S5.4 (abnormal example: absolute-path reference skips merge per S5.3, so remove_dot_segments applies directly)","rurl(rfc3986)","ok","http","ex.com","","/g","",""
"http://foo.09","other","WPT urltestdata.json: input=""http://foo.09"" (failure: true)","rurl(rfc3986)","warning-invalid-tld","http","foo.09","","/","",""
"http://foo.0x4","other","WPT urltestdata.json: input=""http://foo.0x4"" (failure: true)","rurl(rfc3986)","warning-invalid-tld","http","foo.0x4","","/","",""
"http://0x1.2.3.4.5","other","WPT urltestdata.json: input=""http://0x1.2.3.4.5"" (failure: true)","rurl(rfc3986)","warning-invalid-tld","http","0x1.2.3.4.5","","/","",""
"http://1.2.3.08","other","WPT urltestdata.json: input=""http://1.2.3.08"" (failure: true)","rurl(rfc3986)","warning-invalid-tld","http","1.2.3.08","","/","",""
"http://a!b.example.com/","other","WHATWG host parsing (ada-confirmed); RURL-dxwxeamq / ADR 0009","rurl(rfc3986)","error","","","","/","",""
"http://a'b.example.com/","other","WHATWG host parsing (ada-confirmed); RURL-dxwxeamq / ADR 0009 (ada-008 boundary RURL-ffrkfdcq)","rurl(rfc3986)","error","","","","/","",""
"http://a+b.example.com/","other","WHATWG host parsing (ada-confirmed); RURL-dxwxeamq / ADR 0009","rurl(rfc3986)","error","","","","/","",""
"http://a=b.example.com/","other","WHATWG host parsing (ada-confirmed); RURL-dxwxeamq / ADR 0009","rurl(rfc3986)","error","","","","/","",""
"http://a;b.example.com/","other","WHATWG host parsing (ada-confirmed); RURL-dxwxeamq / ADR 0009","rurl(rfc3986)","error","","","","/","",""
"http://ex.com%60x.example.com/","other","WHATWG host parser percent-decodes before forbidden-code-point checks; RURL-rgjpcbuk","rurl(rfc3986)","warning-invalid-tld","http","ex.com%60x.example.com","","/","",""
"file://example:1/","ext-wpt-urltestdata","WPT url/resources/urltestdata.json (BSD-3-Clause) failure case","rurl(rfc3986)","error","","","","/","",""
