"input","axis","divergent_components","rurl(rfc3986)","rurl(whatwg)","curl","adaR","urltools"
"http://ex.com/%41%42","pct-unreserved","path","http|ex.com||/AB","http|ex.com||/%41%42","http|ex.com||/AB","http|ex.com||/%41%42","http|ex.com||/%41%42"
"http://ex.com/a%2Fb","pct-reserved","path","http|ex.com||/a%2Fb","http|ex.com||/a%2Fb","http|ex.com||/a/b","http|ex.com||/a%2Fb","http|ex.com||/a%2Fb"
"http://2130706433/","ipv4-whole-decimal","host","http|2130706433||/ [warning-no-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|2130706433||/"
"http://0x7f.0.0.1/","ipv4-hex","host","http|0x7f.0.0.1||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|0x7f.0.0.1||/"
"http://0177.0.0.1/","ipv4-octal","host","http|0177.0.0.1||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|0177.0.0.1||/"
"http://127.1/","ipv4-short-form","host","http|127.1||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|127.1||/"
"http://999999999999/","ipv4-overflow","scheme,host,port,path","http|999999999999||/ [warning-no-tld]","<error>","http|999999999999||/","<reject>","http|999999999999||/"
"http://example.com./","host-trailing-dot","","http|example.com.||/","http|example.com.||/","http|example.com.||/","http|example.com.||/","http|example.com.||/"
"http:\\example.com\a","backslash-as-slash","scheme,host,port,path","<error>","http|example.com||/a","<error>","http|example.com||/a","|http|\\example.com\a|/"
"http://ex.com:80/","default-port-elision","port","http|ex.com|80|/","http|ex.com||/","http|ex.com|80|/","http|ex.com||/","http|ex.com|80|/"
"http://münchen.de/","idn-unicode-host","","http|münchen.de||/","http|münchen.de||/","http|münchen.de||/","http|münchen.de||/","http|münchen.de||/"
"http://xn--mnchen-3ya.de/","idn-punycode-host","host","http|xn--mnchen-3ya.de||/","http|xn--mnchen-3ya.de||/","http|xn--mnchen-3ya.de||/","http|münchen.de||/","http|xn--mnchen-3ya.de||/"
"http://ex.com/a/./b/../c","dot-segment","path","http|ex.com||/a/c","http|ex.com||/a/c","http|ex.com||/a/c","http|ex.com||/a/c","http|ex.com||/a/./b/../c"
"http://ex.com","empty-path","","http|ex.com||/","http|ex.com||/","http|ex.com||/","http|ex.com||/","http|ex.com||/"
"http://www.ex.com/","www-prefix","","http|www.ex.com||/","http|www.ex.com||/","http|www.ex.com||/","http|www.ex.com||/","http|www.ex.com||/"
"http://user:pass@ex.com/","userinfo","","http|ex.com||/","http|ex.com||/","http|ex.com||/","http|ex.com||/","http|ex.com||/"
"http://ex	ample.com/","c0-tab","scheme,host,port,path","<error>","http|example.com||/","<error>","http|example.com||/","http|ex	ample.com||/"
"http://ex.com/a%3Fb","pct-reserved","path","http|ex.com||/a%3Fb","http|ex.com||/a%3Fb","http|ex.com||/a?b","http|ex.com||/a%3Fb","http|ex.com||/a%3Fb"
"http://ex.com/a%23b","pct-reserved","path","http|ex.com||/a%23b","http|ex.com||/a%23b","http|ex.com||/a#b","http|ex.com||/a%23b","http|ex.com||/a%23b"
"http://ex.com/%7euser","pct-unreserved","path","http|ex.com||/~user","http|ex.com||/%7euser","http|ex.com||/~user","http|ex.com||/%7euser","http|ex.com||/%7euser"
"http://ex.com/%4a%6A","pct-unreserved","path","http|ex.com||/Jj","http|ex.com||/%4a%6A","http|ex.com||/Jj","http|ex.com||/%4a%6A","http|ex.com||/%4a%6A"
"http://ex.com/%2e%2e/a","dot-segment","path","http|ex.com||/a","http|ex.com||/a","http|ex.com||/a","http|ex.com||/a","http|ex.com||/%2e%2e/a"
"http://ex.com/a/%2E./b","dot-segment","path","http|ex.com||/b","http|ex.com||/b","http|ex.com||/b","http|ex.com||/b","http|ex.com||/a/%2E./b"
"http://ex.com/a/.%2e/b","dot-segment","path","http|ex.com||/b","http|ex.com||/b","http|ex.com||/b","http|ex.com||/b","http|ex.com||/a/.%2e/b"
"http://ex.com/%2e/a","dot-segment","path","http|ex.com||/a","http|ex.com||/a","http|ex.com||/a","http|ex.com||/a","http|ex.com||/%2e/a"
"http://ex.com/a/../b/./c","dot-segment","path","http|ex.com||/b/c","http|ex.com||/b/c","http|ex.com||/b/c","http|ex.com||/b/c","http|ex.com||/a/../b/./c"
"http://ex.com/caf%C3%A9","non-ascii-path","","http|ex.com||/caf%C3%A9","http|ex.com||/caf%C3%A9","http|ex.com||/café","http|ex.com||/caf%C3%A9","http|ex.com||/caf%C3%A9"
"http://ex.com/%20foo","space-in-path","","http|ex.com||/%20foo","http|ex.com||/%20foo","http|ex.com||/ foo","http|ex.com||/%20foo","http|ex.com||/%20foo"
"http://127.0.0.1/","ipv4-canonical","","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/"
"http://256/","ipv4-whole-decimal","host","http|256||/ [warning-no-tld]","http|0.0.1.0||/","http|0.0.1.0||/","http|0.0.1.0||/","http|256||/"
"http://999999999/","ipv4-whole-decimal","host","http|999999999||/ [warning-no-tld]","http|59.154.201.255||/","http|59.154.201.255||/","http|59.154.201.255||/","http|999999999||/"
"http://4294967295/","ipv4-whole-decimal","host","http|4294967295||/ [warning-no-tld]","http|255.255.255.255||/","http|255.255.255.255||/","http|255.255.255.255||/","http|4294967295||/"
"http://4294967296/","ipv4-whole-decimal","scheme,host,port,path","http|4294967296||/ [warning-no-tld]","<error>","http|4294967296||/","<reject>","http|4294967296||/"
"http://0/","ipv4-whole-decimal","host","http|0||/ [warning-no-tld]","http|0.0.0.0||/","http|0.0.0.0||/","http|0.0.0.0||/","http|0||/"
"http://0x7f000001/","ipv4-hex","host","http|0x7f000001||/ [warning-no-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|0x7f000001||/"
"http://0xffffffff/","ipv4-hex","host","http|0xffffffff||/ [warning-no-tld]","http|255.255.255.255||/","http|255.255.255.255||/","http|255.255.255.255||/","http|0xffffffff||/"
"http://0xffffffff1/","ipv4-hex","scheme,host,port,path","http|0xffffffff1||/ [warning-no-tld]","<error>","http|0xffffffff1||/","<reject>","http|0xffffffff1||/"
"https://0x.0x.0","other","host","https|0x.0x.0||/ [warning-invalid-tld]","https|0.0.0.0||/","https|0x.0x.0||/","https|0.0.0.0||/","https|0x.0x.0||/"
"https://0x.0x.0x.0x","other","host","https|0x.0x.0x.0x||/ [warning-invalid-tld]","https|0.0.0.0||/","https|0x.0x.0x.0x||/","https|0.0.0.0||/","https|0x.0x.0x.0x||/"
"http://017700000001/","ipv4-octal","host","http|017700000001||/ [warning-no-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|017700000001||/"
"http://192.168.010.1/","ipv4-octal","host","http|192.168.010.1||/ [warning-invalid-tld]","http|192.168.8.1||/","http|192.168.8.1||/","http|192.168.8.1||/","http|192.168.010.1||/"
"http://00.00.00.00/","ipv4-octal","host","http|00.00.00.00||/ [warning-invalid-tld]","http|0.0.0.0||/","http|0.0.0.0||/","http|0.0.0.0||/","http|00.00.00.00||/"
"http://0000000000000000000000000000000000000000177.0.0.1/","ipv4-octal","host","http|0000000000000000000000000000000000000000177.0.0.1||/ [warning-invalid-tld]","http|127.0.0.1||/","http|127.0.0.1||/","http|127.0.0.1||/","http|0000000000000000000000000000000000000000177.0.0.1||/"
"http://1.2.3.08/","ipv4-octal","scheme,host,port,path","http|1.2.3.08||/ [warning-invalid-tld]","<error>","http|1.2.3.08||/","<reject>","http|1.2.3.08||/"
"http://09.2.3.4/","ipv4-octal","scheme,host,port,path","http|09.2.3.4||/ [warning-invalid-tld]","<error>","http|09.2.3.4||/","<reject>","http|09.2.3.4||/"
"http://192.168/","ipv4-short-form","host","http|192.168||/ [warning-invalid-tld]","http|192.0.0.168||/","http|192.0.0.168||/","http|192.0.0.168||/","http|192.168||/"
"http://192.168.257/","ipv4-short-form","host","http|192.168.257||/ [warning-invalid-tld]","http|192.168.1.1||/","http|192.168.1.1||/","http|192.168.1.1||/","http|192.168.257||/"
"http://256.1.1.1/","ipv4-overflow","scheme,host,port,path","http|256.1.1.1||/ [warning-invalid-tld]","<error>","http|256.1.1.1||/","<reject>","http|256.1.1.1||/"
"http://192.168.0.257/","ipv4-overflow","scheme,host,port,path","http|192.168.0.257||/ [warning-invalid-tld]","<error>","http|192.168.0.257||/","<reject>","http|192.168.0.257||/"
"http://1.2.3.4.5/","ipv4-over-arity","scheme,host,port,path","http|1.2.3.4.5||/ [warning-invalid-tld]","<error>","http|1.2.3.4.5||/","<reject>","http|1.2.3.4.5||/"
"http://ex.com/./g","dot-segment","path","http|ex.com||/g","http|ex.com||/g","http|ex.com||/g","http|ex.com||/g","http|ex.com||/./g"
"http://ex.com/../g","dot-segment","path","http|ex.com||/g","http|ex.com||/g","http|ex.com||/g","http|ex.com||/g","http|ex.com||/../g"
"http://foo.09","other","scheme,host,port,path","http|foo.09||/ [warning-invalid-tld]","<error>","http|foo.09||/","<reject>","http|foo.09||/"
"http://foo.0x4","other","scheme,host,port,path","http|foo.0x4||/ [warning-invalid-tld]","<error>","http|foo.0x4||/","<reject>","http|foo.0x4||/"
"http://0x1.2.3.4.5","other","scheme,host,port,path","http|0x1.2.3.4.5||/ [warning-invalid-tld]","<error>","http|0x1.2.3.4.5||/","<reject>","http|0x1.2.3.4.5||/"
