"input","component","rurl(rfc3986)","curl"
"http://ex.com/a%2Fb","path","/a%2Fb","/a/b"
"http://2130706433/","host","2130706433","127.0.0.1"
"http://0x7f.0.0.1/","host","0x7f.0.0.1","127.0.0.1"
"http://0177.0.0.1/","host","0177.0.0.1","127.0.0.1"
"http://127.1/","host","127.1","127.0.0.1"
"http://ex.com/a%3Fb","path","/a%3Fb","/a?b"
"http://ex.com/a%23b","path","/a%23b","/a#b"
"http://256/","host","256","0.0.1.0"
"http://999999999/","host","999999999","59.154.201.255"
"http://4294967295/","host","4294967295","255.255.255.255"
"http://0/","host","0","0.0.0.0"
"http://0x7f000001/","host","0x7f000001","127.0.0.1"
"http://0xffffffff/","host","0xffffffff","255.255.255.255"
"http://017700000001/","host","017700000001","127.0.0.1"
"http://192.168.010.1/","host","192.168.010.1","192.168.8.1"
"http://00.00.00.00/","host","00.00.00.00","0.0.0.0"
"http://0000000000000000000000000000000000000000177.0.0.1/","host","0000000000000000000000000000000000000000177.0.0.1","127.0.0.1"
"http://192.168/","host","192.168","192.0.0.168"
"http://192.168.257/","host","192.168.257","192.168.1.1"
"http://a!b.example.com/","ACCEPT/REJECT","accept","<error>"
"http://a'b.example.com/","ACCEPT/REJECT","accept","<error>"
"http://a+b.example.com/","ACCEPT/REJECT","accept","<error>"
"http://a=b.example.com/","ACCEPT/REJECT","accept","<error>"
"http://a;b.example.com/","ACCEPT/REJECT","accept","<error>"
"http://ex.com%60x.example.com/","ACCEPT/REJECT","accept","<error>"
"sc://a|b/","ACCEPT/REJECT","<error>","accept"
"file://%43%3A","ACCEPT/REJECT","accept","<error>"
"file://%43%7C","ACCEPT/REJECT","accept","<error>"
"file://C%7C","ACCEPT/REJECT","accept","<error>"
"file://%43%7C/","ACCEPT/REJECT","accept","<error>"
"https://%43%7C/","host","c|","C|"
"asdf://%43|/","ACCEPT/REJECT","<error>","accept"
"file://­/p","ACCEPT/REJECT","accept","<error>"
"file://%C2%AD/p","ACCEPT/REJECT","accept","<error>"
"http://foo.0XFfFfFfFfFfFfFfFfFfAcE123","host","foo.0xfffffffffffffffffface123","foo.0XFfFfFfFfFfFfFfFfFfAcE123"
"http://0x7f.0x0.0x0.0x1/","host","0x7f.0x0.0x0.0x1","127.0.0.1"
"http://0x7f.0x00.0x00.0x01/","host","0x7f.0x00.0x00.0x01","127.0.0.1"
"http://0x7f.1/","host","0x7f.1","127.0.0.1"
"http://0x7f.00.0.1/","host","0x7f.00.0.1","127.0.0.1"
"http://0x7f.256/","host","0x7f.256","127.0.1.0"
"http://0177.00.00.01/","host","0177.00.00.01","127.0.0.1"
"http://0177.000.0000.00001/","host","0177.000.0000.00001","127.0.0.1"
"http://0177.0x0.1/","host","0177.0x0.1","127.0.0.1"
"http://127.0.1/","host","127.0.1","127.0.0.1"
"http://0xa9fea9fe/","host","0xa9fea9fe","169.254.169.254"
"http://0xa9.0xfe.0xa9.0xfe/","host","0xa9.0xfe.0xa9.0xfe","169.254.169.254"
"http://2852039166/","host","2852039166","169.254.169.254"
"http://0251.0376.0251.0376/","host","0251.0376.0251.0376","169.254.169.254"
"http://0xa9.254.0xa9.0376/","host","0xa9.254.0xa9.0376","169.254.169.254"
"http://[::ffff:127.0.0.1%2523]/","ACCEPT/REJECT","<error>","accept"
"http://Yağız.com","host","yağız.com","Yağız.com"
"fs:/hello.eth","ACCEPT/REJECT","<error>","accept"
