"input","component","rurl(rfc3986)","python-urllib"
"http://ex.com/%41%42","path","/AB","/%41%42"
"http:\\example.com\a","ACCEPT/REJECT","<error>","accept"
"http://ex.com/a/./b/../c","path","/a/c","/a/./b/../c"
"http://ex	ample.com/","ACCEPT/REJECT","<error>","accept"
"http://ex.com/%7euser","path","/~user","/%7euser"
"http://ex.com/%4a%6A","path","/Jj","/%4a%6A"
"http://ex.com/%2e%2e/a","path","/a","/%2e%2e/a"
"http://ex.com/a/%2E./b","path","/b","/a/%2E./b"
"http://ex.com/a/.%2e/b","path","/b","/a/.%2e/b"
"http://ex.com/%2e/a","path","/a","/%2e/a"
"http://ex.com/a/../b/./c","path","/b/c","/a/../b/./c"
"http://ex.com/./g","path","/g","/./g"
"http://ex.com/../g","path","/g","/../g"
"file://example:1/","ACCEPT/REJECT","<error>","accept"
"file://example:test/","ACCEPT/REJECT","<error>","accept"
"file://example%/","ACCEPT/REJECT","<error>","accept"
"http://user:pass@/","ACCEPT/REJECT","<error>","accept"
"http://foo:-80/","ACCEPT/REJECT","<error>","accept"
"http:/:@/www.example.com","ACCEPT/REJECT","<error>","accept"
"http://user@/www.example.com","ACCEPT/REJECT","<error>","accept"
"http:@/www.example.com","ACCEPT/REJECT","<error>","accept"
"http:/@/www.example.com","ACCEPT/REJECT","<error>","accept"
"http://@/www.example.com","ACCEPT/REJECT","<error>","accept"
"https:@/www.example.com","ACCEPT/REJECT","<error>","accept"
"http:a:b@/www.example.com","ACCEPT/REJECT","<error>","accept"
"http:/a:b@/www.example.com","ACCEPT/REJECT","<error>","accept"
"http://a:b@/www.example.com","ACCEPT/REJECT","<error>","accept"
"http::@/www.example.com","ACCEPT/REJECT","<error>","accept"
"http:@:www.example.com","ACCEPT/REJECT","<error>","accept"
"http:/@:www.example.com","ACCEPT/REJECT","<error>","accept"
"http://@:www.example.com","ACCEPT/REJECT","<error>","accept"
"https://%EF%BF%BD","host","�","%EF%BF%BD"
"https://x x:12","ACCEPT/REJECT","<error>","accept"
"sc://@/","ACCEPT/REJECT","<error>","accept"
"sc://te@s:t@/","ACCEPT/REJECT","<error>","accept"
"sc://:/","ACCEPT/REJECT","<error>","accept"
"sc://:12/","ACCEPT/REJECT","<error>","accept"
"sc://a b/","ACCEPT/REJECT","<error>","accept"
"sc://a<b","ACCEPT/REJECT","<error>","accept"
"sc://a>b","ACCEPT/REJECT","<error>","accept"
"sc://a\b/","ACCEPT/REJECT","<error>","accept"
"sc://a^b","ACCEPT/REJECT","<error>","accept"
"sc://a|b/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://a b/","ACCEPT/REJECT","<error>","accept"
"http://a%b/","ACCEPT/REJECT","<error>","accept"
"http://a<b","ACCEPT/REJECT","<error>","accept"
"http://a>b","ACCEPT/REJECT","<error>","accept"
"http://a^b","ACCEPT/REJECT","<error>","accept"
"http://ab/","ACCEPT/REJECT","<error>","accept"
"http://ho%00st/","ACCEPT/REJECT","<error>","accept"
"http://ho%01st/","ACCEPT/REJECT","<error>","accept"
"http://ho%02st/","ACCEPT/REJECT","<error>","accept"
"http://ho%03st/","ACCEPT/REJECT","<error>","accept"
"http://ho%04st/","ACCEPT/REJECT","<error>","accept"
"http://ho%05st/","ACCEPT/REJECT","<error>","accept"
"http://ho%06st/","ACCEPT/REJECT","<error>","accept"
"http://ho%07st/","ACCEPT/REJECT","<error>","accept"
"http://ho%08st/","ACCEPT/REJECT","<error>","accept"
"http://ho%09st/","ACCEPT/REJECT","<error>","accept"
"http://ho%0Ast/","ACCEPT/REJECT","<error>","accept"
"http://ho%0Bst/","ACCEPT/REJECT","<error>","accept"
"http://ho%0Cst/","ACCEPT/REJECT","<error>","accept"
"http://ho%0Dst/","ACCEPT/REJECT","<error>","accept"
"http://ho%0Est/","ACCEPT/REJECT","<error>","accept"
"http://ho%0Fst/","ACCEPT/REJECT","<error>","accept"
"http://ho%10st/","ACCEPT/REJECT","<error>","accept"
"http://ho%11st/","ACCEPT/REJECT","<error>","accept"
"http://ho%12st/","ACCEPT/REJECT","<error>","accept"
"http://ho%13st/","ACCEPT/REJECT","<error>","accept"
"http://ho%14st/","ACCEPT/REJECT","<error>","accept"
"http://ho%15st/","ACCEPT/REJECT","<error>","accept"
"http://ho%16st/","ACCEPT/REJECT","<error>","accept"
"http://ho%17st/","ACCEPT/REJECT","<error>","accept"
"http://ho%18st/","ACCEPT/REJECT","<error>","accept"
"http://ho%19st/","ACCEPT/REJECT","<error>","accept"
"http://ho%1Ast/","ACCEPT/REJECT","<error>","accept"
"http://ho%1Bst/","ACCEPT/REJECT","<error>","accept"
"http://ho%1Cst/","ACCEPT/REJECT","<error>","accept"
"http://ho%1Dst/","ACCEPT/REJECT","<error>","accept"
"http://ho%1Est/","ACCEPT/REJECT","<error>","accept"
"http://ho%1Fst/","ACCEPT/REJECT","<error>","accept"
"http://ho%20st/","ACCEPT/REJECT","<error>","accept"
"http://ho%23st/","ACCEPT/REJECT","<error>","accept"
"http://ho%25st/","ACCEPT/REJECT","<error>","accept"
"http://ho%2Fst/","ACCEPT/REJECT","<error>","accept"
"http://ho%3Ast/","ACCEPT/REJECT","<error>","accept"
"http://ho%3Cst/","ACCEPT/REJECT","<error>","accept"
"http://ho%3Est/","ACCEPT/REJECT","<error>","accept"
"http://ho%3Fst/","ACCEPT/REJECT","<error>","accept"
"http://ho%40st/","ACCEPT/REJECT","<error>","accept"
"http://ho%5Bst/","ACCEPT/REJECT","<error>","accept"
"http://ho%5Cst/","ACCEPT/REJECT","<error>","accept"
"http://ho%5Dst/","ACCEPT/REJECT","<error>","accept"
"http://ho%7Cst/","host","ho|st","ho%7Cst"
"http://ho%7Fst/","host","host","ho%7Fst"
"ftp://example.com%80/","ACCEPT/REJECT","<error>","accept"
"ftp://example.com%A0/","ACCEPT/REJECT","<error>","accept"
"https://example.com%80/","ACCEPT/REJECT","<error>","accept"
"https://example.com%A0/","ACCEPT/REJECT","<error>","accept"
"file://%43%3A","host","%43%3a","%43%3A"
"file://%43%7C","host","%43%7c","%43%7C"
"file://%43|","ACCEPT/REJECT","<error>","accept"
"file://C%7C","host","c%7c","c%7C"
"file://%43%7C/","host","%43%7c","%43%7C"
"https://%43%7C/","host","c|","%43%7C"
"asdf://%43|/","ACCEPT/REJECT","<error>","accept"
"\\\.\Y:","ACCEPT/REJECT","<error>","accept"
"\\\.\y:","ACCEPT/REJECT","<error>","accept"
"http://?","ACCEPT/REJECT","<error>","accept"
"http://#","ACCEPT/REJECT","<error>","accept"
"a","ACCEPT/REJECT","<error>","accept"
"a/","ACCEPT/REJECT","<error>","accept"
"a//","ACCEPT/REJECT","<error>","accept"
"file://%C2%AD/p","host","%c2%ad","%C2%AD"
"#","ACCEPT/REJECT","<error>","accept"
"?","ACCEPT/REJECT","<error>","accept"
"","ACCEPT/REJECT","<error>","accept"
"https://%C2%AD/","host","­","%C2%AD"
"data://:443","ACCEPT/REJECT","<error>","accept"
"data://test:test","ACCEPT/REJECT","<error>","accept"
"javascript://:443","ACCEPT/REJECT","<error>","accept"
"javascript://test:test","ACCEPT/REJECT","<error>","accept"
"mailto://:443","ACCEPT/REJECT","<error>","accept"
"mailto://test:test","ACCEPT/REJECT","<error>","accept"
"intent://:443","ACCEPT/REJECT","<error>","accept"
"intent://test:test","ACCEPT/REJECT","<error>","accept"
"urn://:443","ACCEPT/REJECT","<error>","accept"
"urn://test:test","ACCEPT/REJECT","<error>","accept"
"turn://:443","ACCEPT/REJECT","<error>","accept"
"turn://test:test","ACCEPT/REJECT","<error>","accept"
"stun://:443","ACCEPT/REJECT","<error>","accept"
"stun://test:test","ACCEPT/REJECT","<error>","accept"
"non-special://host\a","ACCEPT/REJECT","<error>","accept"
"http://[::ffff:127.0.0.1]/","host","[::ffff:127.0.0.1]","::ffff:127.0.0.1"
"http://[::127.0.0.1]/","host","[::127.0.0.1]","::127.0.0.1"
"http://[::ffff:127.0.0.1%2523]/","ACCEPT/REJECT","<error>","accept"
"example.com`x.example.com","ACCEPT/REJECT","<error>","accept"
"fs:/hello.eth","ACCEPT/REJECT","<error>","accept"
"http://///\'","ACCEPT/REJECT","<error>","accept"
"mailto:a@b.com","ACCEPT/REJECT","<error>","accept"
"scheme:example.com","ACCEPT/REJECT","<error>","accept"
