"input","component","rurl(whatwg)","adaR"
"http://xn--mnchen-3ya.de/","host","xn--mnchen-3ya.de","münchen.de"
"fs:/hello.eth","ACCEPT/REJECT","<error>","accept"
"mailto:a@b.com","ACCEPT/REJECT","<error>","accept"
"scheme:example.com","ACCEPT/REJECT","<error>","accept"
"scheme:example.com/path","ACCEPT/REJECT","<error>","accept"
"scheme://username@@@@example.com","ACCEPT/REJECT","<error>","accept"
"data:space    ?test#test","ACCEPT/REJECT","<error>","accept"
"a:b#","ACCEPT/REJECT","<error>","accept"
"foo://///////bar.com/","ACCEPT/REJECT","<error>","accept"
"www.php.net:80/index.php?test=1","ACCEPT/REJECT","<error>","accept"
