"axis","n_inputs","n_divergent","ratio","diverging_components"
"ext-wpt-urltestdata",198,198,1,"scheme,host,port,path"
"ext-ip-obfuscation",23,23,1,"scheme,host,port,path"
"ext-youarealiar",9,9,1,"scheme,host,port,path"
"dot-segment",8,8,1,"path"
"ipv4-octal",7,7,1,"scheme,host,port,path"
"ipv4-whole-decimal",6,6,1,"scheme,host,port,path"
"ipv4-hex",4,4,1,"scheme,host,port,path"
"other",4,4,1,"scheme,host,port,path"
"pct-unreserved",3,3,1,"path"
"pct-reserved",3,3,1,"path"
"ipv4-short-form",3,3,1,"host"
"ipv4-overflow",3,3,1,"scheme,host,port,path"
"backslash-as-slash",1,1,1,"scheme,host,port,path"
"default-port-elision",1,1,1,"port"
"idn-punycode-host",1,1,1,"host"
"c0-tab",1,1,1,"scheme,host,port,path"
"non-ascii-path",1,1,1,"path"
"space-in-path",1,1,1,"path"
"ipv4-over-arity",1,1,1,"scheme,host,port,path"
"ext-ada-extra-urltestdata",20,19,0.95,"scheme,host,port,path"
"ext-equivocal-urls",10,6,0.6,"scheme,host,port,path"
"host-trailing-dot",1,0,0,""
"idn-unicode-host",1,0,0,""
"empty-path",1,0,0,""
"www-prefix",1,0,0,""
"userinfo",1,0,0,""
"ipv4-canonical",1,0,0,""
"ext-ada-verifydnslength",14,0,0,""
