"input","posture","rurl_status","conformant"
"file://example:1/","general","error",TRUE
"file://example:test/","general","error",TRUE
"file://example%/","general","error",TRUE
"file://[example]/","general","error",TRUE
"http://user:pass@/","general","error",TRUE
"http://foo:-80/","general","error",TRUE
"http:/:@/www.example.com","general","error",TRUE
"http://user@/www.example.com","general","error",TRUE
"http:@/www.example.com","general","error",TRUE
"http:/@/www.example.com","general","error",TRUE
"http://@/www.example.com","general","error",TRUE
"https:@/www.example.com","general","error",TRUE
"http:a:b@/www.example.com","general","error",TRUE
"http:/a:b@/www.example.com","general","error",TRUE
"http://a:b@/www.example.com","general","error",TRUE
"http::@/www.example.com","general","error",TRUE
"http:@:www.example.com","general","error",TRUE
"http:/@:www.example.com","general","error",TRUE
"http://@:www.example.com","general","error",TRUE
"https://�","general","error",TRUE
"https://%EF%BF%BD","general","error",TRUE
"https://x x:12","general","error",TRUE
"http://[www.google.com]/","general","error",TRUE
"sc://@/","general","error",TRUE
"sc://te@s:t@/","general","error",TRUE
"sc://:/","general","error",TRUE
"sc://:12/","general","error",TRUE
"sc://a b/","general","error",TRUE
"sc://a<b","general","error",TRUE
"sc://a>b","general","error",TRUE
"sc://a[b/","general","error",TRUE
"sc://a\b/","general","error",TRUE
"sc://a]b/","general","error",TRUE
"sc://a^b","general","error",TRUE
"sc://a|b/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://a b/","general","error",TRUE
"http://a%b/","general","error",TRUE
"http://a<b","general","error",TRUE
"http://a>b","general","error",TRUE
"http://a[b/","general","error",TRUE
"http://a]b/","general","error",TRUE
"http://a^b","general","error",TRUE
"http://a|b/","general","error",TRUE
"http://ab/","general","error",TRUE
"http://ho%00st/","general","error",TRUE
"http://ho%01st/","general","error",TRUE
"http://ho%02st/","general","error",TRUE
"http://ho%03st/","general","error",TRUE
"http://ho%04st/","general","error",TRUE
