"input","rurl_status","conformant"
"file://example:1/","error",TRUE
"file://example:test/","error",TRUE
"file://example%/","error",TRUE
"file://[example]/","error",TRUE
"http://user:pass@/","error",TRUE
"http://foo:-80/","error",TRUE
"http:/:@/www.example.com","error",TRUE
"http://user@/www.example.com","error",TRUE
"http:@/www.example.com","error",TRUE
"http:/@/www.example.com","error",TRUE
"http://@/www.example.com","error",TRUE
"https:@/www.example.com","error",TRUE
"http:a:b@/www.example.com","error",TRUE
"http:/a:b@/www.example.com","error",TRUE
"http://a:b@/www.example.com","error",TRUE
"http::@/www.example.com","error",TRUE
"http:@:www.example.com","error",TRUE
"http:/@:www.example.com","error",TRUE
"http://@:www.example.com","error",TRUE
"https://�","error",TRUE
"https://%EF%BF%BD","error",TRUE
"https://x x:12","error",TRUE
"http://[www.google.com]/","error",TRUE
"sc://@/","error",TRUE
"sc://te@s:t@/","error",TRUE
"sc://:/","error",TRUE
"sc://:12/","error",TRUE
"sc://a b/","error",TRUE
"sc://a<b","error",TRUE
"sc://a>b","error",TRUE
"sc://a[b/","error",TRUE
"sc://a\b/","error",TRUE
"sc://a]b/","error",TRUE
"sc://a^b","error",TRUE
"sc://a|b/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://ab/","error",TRUE
"http://a b/","error",TRUE
"http://a%b/","error",TRUE
"http://a<b","error",TRUE
"http://a>b","error",TRUE
"http://a[b/","error",TRUE
"http://a]b/","error",TRUE
"http://a^b","error",TRUE
"http://a|b/","error",TRUE
"http://ab/","error",TRUE
"http://ho%00st/","error",TRUE
"http://ho%01st/","error",TRUE
"http://ho%02st/","error",TRUE
"http://ho%03st/","error",TRUE
"http://ho%04st/","error",TRUE
"http://ho%05st/","error",TRUE
"http://ho%06st/","error",TRUE
"http://ho%07st/","error",TRUE
"http://ho%08st/","error",TRUE
"http://ho%09st/","error",TRUE
"http://ho%0Ast/","error",TRUE
"http://ho%0Bst/","error",TRUE
"http://ho%0Cst/","error",TRUE
"http://ho%0Dst/","error",TRUE
"http://ho%0Est/","error",TRUE
"http://ho%0Fst/","error",TRUE
"http://ho%10st/","error",TRUE
"http://ho%11st/","error",TRUE
"http://ho%12st/","error",TRUE
"http://ho%13st/","error",TRUE
"http://ho%14st/","error",TRUE
"http://ho%15st/","error",TRUE
"http://ho%16st/","error",TRUE
"http://ho%17st/","error",TRUE
"http://ho%18st/","error",TRUE
"http://ho%19st/","error",TRUE
"http://ho%1Ast/","error",TRUE
"http://ho%1Bst/","error",TRUE
"http://ho%1Cst/","error",TRUE
"http://ho%1Dst/","error",TRUE
"http://ho%1Est/","error",TRUE
"http://ho%1Fst/","error",TRUE
"http://ho%20st/","error",TRUE
"http://ho%23st/","error",TRUE
"http://ho%25st/","error",TRUE
"http://ho%2Fst/","error",TRUE
"http://ho%3Ast/","error",TRUE
"http://ho%3Cst/","error",TRUE
"http://ho%3Est/","error",TRUE
"http://ho%3Fst/","error",TRUE
"http://ho%40st/","error",TRUE
"http://ho%5Bst/","error",TRUE
"http://ho%5Cst/","error",TRUE
"http://ho%5Dst/","error",TRUE
"http://ho%7Cst/","error",TRUE
"http://ho%7Fst/","error",TRUE
"ftp://example.com%80/","error",TRUE
"ftp://example.com%A0/","error",TRUE
"https://example.com%80/","error",TRUE
"https://example.com%A0/","error",TRUE
"https://0x100000000/test","error",TRUE
"https://256.0.0.1/test","error",TRUE
"file://%43%3A","error",TRUE
"file://%43%7C","error",TRUE
"file://%43|","error",TRUE
"file://C%7C","error",TRUE
"file://%43%7C/","error",TRUE
"https://%43%7C/","error",TRUE
"asdf://%43|/","error",TRUE
"\\\.\Y:","error",TRUE
"\\\.\y:","error",TRUE
"https://[0::0::0]","error",TRUE
"https://[0:.0]","error",TRUE
"https://[0:0:]","error",TRUE
"https://[0:1:2:3:4:5:6:7.0.0.0.1]","error",TRUE
"https://[0:1.00.0.0.0]","error",TRUE
"https://[0:1.290.0.0.0]","error",TRUE
"https://[0:1.23.23]","error",TRUE
"http://?","error",TRUE
"http://#","error",TRUE
"non-special://[:80/","error",TRUE
"http://[::127.0.0.0.1]","error",TRUE
"a","error",TRUE
"a/","error",TRUE
"a//","error",TRUE
"file://­/p","error",TRUE
"file://%C2%AD/p","error",TRUE
"#","error",TRUE
"?","error",TRUE
"http://0..0x300/","error",TRUE
"http://0..0x300./","error",TRUE
"http://1.2.3.08","error",TRUE
"http://1.2.3.08.","error",TRUE
"http://1.2.3.09","error",TRUE
"http://09.2.3.4","error",TRUE
"http://09.2.3.4.","error",TRUE
"http://01.2.3.4.5","error",TRUE
"http://01.2.3.4.5.","error",TRUE
"http://0x100.2.3.4","error",TRUE
"http://0x100.2.3.4.","error",TRUE
"http://0x1.2.3.4.5","error",TRUE
"http://0x1.2.3.4.5.","error",TRUE
"http://foo.1.2.3.4","error",TRUE
"http://foo.1.2.3.4.","error",TRUE
"http://foo.2.3.4","error",TRUE
"http://foo.2.3.4.","error",TRUE
"http://foo.09","error",TRUE
"http://foo.09.","error",TRUE
"http://foo.0x4","error",TRUE
"http://foo.0x4.","error",TRUE
"http://0999999999999999999/","error",TRUE
"http://foo.0x","error",TRUE
"http://foo.0XFfFfFfFfFfFfFfFfFfAcE123","error",TRUE
"http://💩.123/","error",TRUE
"https://￿y","error",TRUE
"","error",TRUE
"https://­/","error",TRUE
"https://%C2%AD/","error",TRUE
"data://:443","error",TRUE
"data://test:test","error",TRUE
"data://[:1]","error",TRUE
"javascript://:443","error",TRUE
"javascript://test:test","error",TRUE
"javascript://[:1]","error",TRUE
"mailto://:443","error",TRUE
"mailto://test:test","error",TRUE
"mailto://[:1]","error",TRUE
"intent://:443","error",TRUE
"intent://test:test","error",TRUE
"intent://[:1]","error",TRUE
"urn://:443","error",TRUE
"urn://test:test","error",TRUE
"urn://[:1]","error",TRUE
"turn://:443","error",TRUE
"turn://test:test","error",TRUE
"turn://[:1]","error",TRUE
"stun://:443","error",TRUE
"stun://test:test","error",TRUE
"stun://[:1]","error",TRUE
"non-special://host\a","error",TRUE
