"input","posture","accepted","scheme_ok","username_ok","password_ok","host_ok","port_ok","path_ok","query_ok","fragment_ok","full_parity","rurl_scheme","exp_scheme","rurl_username","exp_username","rurl_password","exp_password","rurl_host","exp_host","rurl_port","exp_port","rurl_path","exp_path","rurl_query","exp_query","rurl_fragment","exp_fragment","rurl_status"
"https://test:@test","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https","https","test","test","","","test","test","","","/","/","","","","","warning-no-tld"
"https://:@test","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https","https","","","","","test","test","","","/","/","","","","","warning-no-tld"
"non-special://test:@test/x","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"non-special","non-special","test","test","","","test","test","","","/x","/x","","","","","ok"
"non-special://:@test/x","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"non-special","non-special","","","","","test","test","","","/x","/x","","","","","ok"
"lolscheme:x x#x x","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"lolscheme","lolscheme","","","","","","","","","x x","x x","","","x%20x","x%20x","ok"
"http://é@é","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","%C3%A9","%C3%A9","","","xn--9ca","xn--9ca","","","/","/","","","","","warning-no-tld"
"http://é@example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","%C3%A9","%C3%A9","","","example.com","example.com","","","/","/","","","","","ok"
"http://a:b@c\","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","a","a","b","b","c","c","","","/","/","","","","","warning-no-tld"
"ws://a@b\c","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ws","ws","a","a","","","b","b","","","/c","/c","","","","","warning-no-tld"
"file:///w|m","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"file","file","","","","","","","","","/w|m","/w|m","","","","","ok"
"file:///w||m","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"file","file","","","","","","","","","/w||m","/w||m","","","","","ok"
"file:///w|/m","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"file","file","","","","","","","","","/w:/m","/w:/m","","","","","ok"
"file:C|/m/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"file","file","","","","","","","","","/C:/m/","/C:/m/","","","","","ok"
"file:C||/m/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"file","file","","","","","","","","","/C||/m/","/C||/m/","","","","","ok"
"http://example.com/././foo","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo","/foo","","","","","ok"
"http://example.com/./.foo","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/.foo","/.foo","","","","","ok"
"http://example.com/foo/.","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo/","/foo/","","","","","ok"
"http://example.com/foo/./","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo/","/foo/","","","","","ok"
"http://example.com/foo/bar/..","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo/","/foo/","","","","","ok"
"http://example.com/foo/bar/../","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo/","/foo/","","","","","ok"
"http://example.com/foo/..bar","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo/..bar","/foo/..bar","","","","","ok"
"http://example.com/foo/bar/../ton","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo/ton","/foo/ton","","","","","ok"
"http://example.com/foo/bar/../ton/../../a","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/a","/a","","","","","ok"
