"input","posture","accepted","scheme_ok","username_ok","password_ok","host_ok","port_ok","path_ok","query_ok","fragment_ok","full_parity","rurl_scheme","exp_scheme","rurl_username","exp_username","rurl_password","exp_password","rurl_host","exp_host","rurl_port","exp_port","rurl_path","exp_path","rurl_query","exp_query","rurl_fragment","exp_fragment","rurl_status"
"https://test:@test","web",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https","https","test","test","","","test","test","","","/","/","","","","","warning-no-tld"
"https://:@test","web",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https","https","","","","","test","test","","","/","/","","","","","warning-no-tld"
"non-special://test:@test/x","web",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","non-special","","test","","","","test","","","","/x","","","","","error"
"non-special://:@test/x","web",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","non-special","","","","","","test","","","","/x","","","","","error"
"lolscheme:x x#x x","web",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","lolscheme","","","","","","","","","","x x","","","","x%20x","error"
"http://é@é","web",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","%C3%A9","%C3%A9","","","xn--9ca","xn--9ca","","","/","/","","","","","warning-no-tld"
"http://é@example.com","web",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","%C3%A9","%C3%A9","","","example.com","example.com","","","/","/","","","","","ok"
"http://a:b@c\","web",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","a","a","b","b","c","c","","","/","/","","","","","warning-no-tld"
"ws://a@b\c","web",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","ws","","a","","","","b","","","","/c","","","","","error"
"file:///w|m","web",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"file","file","","","","","","","","","/w|m","/w|m","","","","","ok"
"file:///w||m","web",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"file","file","","","","","","","","","/w||m","/w||m","","","","","ok"
"file:///w|/m","web",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"file","file","","","","","","","","","/w:/m","/w:/m","","","","","ok"
