"id","construct","input_json"
"c0-leading-01","c0-control-leading","""\u0001http://example.com/p?q=1#f"""
"c0-leading-02","c0-control-leading","""\u0002http://example.com/p?q=1#f"""
"c0-leading-03","c0-control-leading","""\u0003http://example.com/p?q=1#f"""
"c0-leading-04","c0-control-leading","""\u0004http://example.com/p?q=1#f"""
"c0-leading-05","c0-control-leading","""\u0005http://example.com/p?q=1#f"""
"c0-leading-06","c0-control-leading","""\u0006http://example.com/p?q=1#f"""
"c0-leading-07","c0-control-leading","""\u0007http://example.com/p?q=1#f"""
"c0-leading-08","c0-control-leading","""\bhttp://example.com/p?q=1#f"""
"c0-leading-09","c0-control-leading","""\thttp://example.com/p?q=1#f"""
"c0-leading-0a","c0-control-leading","""\nhttp://example.com/p?q=1#f"""
"c0-leading-0b","c0-control-leading","""\u000bhttp://example.com/p?q=1#f"""
"c0-leading-0c","c0-control-leading","""\fhttp://example.com/p?q=1#f"""
"c0-leading-0d","c0-control-leading","""\rhttp://example.com/p?q=1#f"""
"c0-leading-0e","c0-control-leading","""\u000ehttp://example.com/p?q=1#f"""
"c0-leading-0f","c0-control-leading","""\u000fhttp://example.com/p?q=1#f"""
"c0-leading-10","c0-control-leading","""\u0010http://example.com/p?q=1#f"""
"c0-leading-11","c0-control-leading","""\u0011http://example.com/p?q=1#f"""
"c0-leading-12","c0-control-leading","""\u0012http://example.com/p?q=1#f"""
"c0-leading-13","c0-control-leading","""\u0013http://example.com/p?q=1#f"""
"c0-leading-14","c0-control-leading","""\u0014http://example.com/p?q=1#f"""
"c0-leading-15","c0-control-leading","""\u0015http://example.com/p?q=1#f"""
"c0-leading-16","c0-control-leading","""\u0016http://example.com/p?q=1#f"""
"c0-leading-17","c0-control-leading","""\u0017http://example.com/p?q=1#f"""
"c0-leading-18","c0-control-leading","""\u0018http://example.com/p?q=1#f"""
"c0-leading-19","c0-control-leading","""\u0019http://example.com/p?q=1#f"""
"c0-leading-1a","c0-control-leading","""\u001ahttp://example.com/p?q=1#f"""
"c0-leading-1b","c0-control-leading","""\u001bhttp://example.com/p?q=1#f"""
"c0-leading-1c","c0-control-leading","""\u001chttp://example.com/p?q=1#f"""
"c0-leading-1d","c0-control-leading","""\u001dhttp://example.com/p?q=1#f"""
"c0-leading-1e","c0-control-leading","""\u001ehttp://example.com/p?q=1#f"""
"c0-leading-1f","c0-control-leading","""\u001fhttp://example.com/p?q=1#f"""
"c0-leading-7f","c0-control-leading","""\u007fhttp://example.com/p?q=1#f"""
"c0-trailing-01","c0-control-trailing","""http://example.com/p?q=1#f\u0001"""
"c0-trailing-02","c0-control-trailing","""http://example.com/p?q=1#f\u0002"""
"c0-trailing-03","c0-control-trailing","""http://example.com/p?q=1#f\u0003"""
"c0-trailing-04","c0-control-trailing","""http://example.com/p?q=1#f\u0004"""
"c0-trailing-05","c0-control-trailing","""http://example.com/p?q=1#f\u0005"""
"c0-trailing-06","c0-control-trailing","""http://example.com/p?q=1#f\u0006"""
"c0-trailing-07","c0-control-trailing","""http://example.com/p?q=1#f\u0007"""
"c0-trailing-08","c0-control-trailing","""http://example.com/p?q=1#f\b"""
"c0-trailing-09","c0-control-trailing","""http://example.com/p?q=1#f\t"""
"c0-trailing-0a","c0-control-trailing","""http://example.com/p?q=1#f\n"""
"c0-trailing-0b","c0-control-trailing","""http://example.com/p?q=1#f\u000b"""
"c0-trailing-0c","c0-control-trailing","""http://example.com/p?q=1#f\f"""
"c0-trailing-0d","c0-control-trailing","""http://example.com/p?q=1#f\r"""
"c0-trailing-0e","c0-control-trailing","""http://example.com/p?q=1#f\u000e"""
"c0-trailing-0f","c0-control-trailing","""http://example.com/p?q=1#f\u000f"""
